id,original_title,tags,vote_average,release_date
75656,Now You See Me,Now You See Me An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money. Thriller Crime paris bank secret fbi vault magic new orleans investigation heist conspiracy money escape new york city las vegas explosion,7.3,2013-05-29
38365,Grown Ups,"Grown Ups After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend. Comedy overweight swing foot convertible arrow",6.0,2010-06-24
594,The Terminal,"The Terminal Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant. Comedy Drama new york airport marriage proposal translation craftsman stewardess illegal immigration language barrier jfk international airport immigration law fast food restaurant security camera jazz musician saxophonist autograph passport eastern europe friendship",7.0,2004-06-17
15189,Hotel for Dogs,"Hotel for Dogs Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother, Bruce, turn an abandoned hotel into a home for their dog. Soon other strays arrive, and the hotel becomes a haven for every orphaned canine in town. But the kids have to do some quick thinking to keep the cops off their tails. Comedy Family adoption puppy pitbull orphan foster home animal lover beagle duringcreditsstinger",5.7,2009-01-16
11678,Vertical Limit,"Vertical Limit Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives. Action Adventure Thriller himalaya pakistan climbing k2 mountaineering karakoram",5.9,2000-12-08
6538,Charlie Wilson's War,"Charlie Wilson's War The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects. Comedy Drama History washington d.c. alcohol cia helicopter refugee camp congress cold war ladykiller rocket launcher russian munition war in afghanistan dollar",6.5,2007-12-19
10555,Shark Tale,"Shark Tale Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship. Animation Action Comedy Family fish hero mission of murder threat to death secret love animation shark woman director",5.8,2004-09-20
1125,Dreamgirls,"Dreamgirls Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early. Drama music record manager black people adultery soul show business drug addiction oscar award musical deceived wife recording contract background singer motown the supremes record producer single singer singing detroit alcoholic extramarital affair music band",6.6,2006-12-25
4551,Be Cool,"Be Cool Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way. Comedy Crime baseball bat widow recording contract recording studio russian mafia music business night club pawnshop",5.4,2005-03-04
612,Munich,"Munich During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack. Drama Action History Thriller paris assassination israel hotel room 1970s hostage intelligence olympic games munich mossad israeli palestinian beirut ailul al aswad plo bomb constructor baader-meinhof group olympian village revenge",6.9,2005-12-22
9567,Tears of the Sun,"Tears of the Sun Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician. Action Drama War u.s. army nigeria president",6.4,2003-03-07
37821,Killers,"Killers When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life. Action Comedy Thriller Romance assassin",5.7,2010-06-04
203801,The Man from U.N.C.L.E.,"The Man from U.N.C.L.E. At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe. Comedy Action Adventure spy cold war remake based on tv series buddy cop russian spy american spy",7.1,2015-08-13
2539,Spanglish,"Spanglish Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter, Cristina, Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own, and very different, terms. Comedy upper class mother single parent parents kids relationship wife husband relationship cook milieu illegal immigration immigrant language barrier family's daily life platonic love deceived husband class society hysteria biography united states–mexico barrier relationship problems class language course single mother daughter relationship american mexican father figure",5.8,2004-12-17
9297,Monster House,"Monster House Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets. Animation Comedy Family Fantasy monster secret toy children neighbor mission child",6.3,2006-07-21
3172,Bandits,Bandits Two bank robbers fall in love with the girl they've kidnapped. Action Comedy Crime Romance prison,6.2,2001-10-12
6520,First Knight,"First Knight The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love. Action Adventure Drama Romance camelot knight king arthur excalibur knights of the round table",5.9,1995-07-07
1439,Anna and the King,Anna and the King The story of the romance between the King of Siam (now Thailand) and the widowed British school teacher Anna Leonowens during the 1860's. Anna teaches the children and becomes romanced by the King. She convinces him that a man can be loved by just one woman. Drama History Romance civil war father son relationship east india trading company traitor death penalty thailand palace burma daughter royalty teacher battle denunciation,6.4,1999-12-16
37958,Immortals,"Immortals Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity. Fantasy Action Drama poison army zeus poseidon spear",5.7,2011-11-10
2026,Hostage,"Hostage When a mafia accountant is taken hostage on his beat, a police officer – wracked by guilt from a prior stint as a negotiator – must negotiate the standoff, even as his own family is held captive by the mob. Mystery Drama Thriller Crime fbi kidnapping police operation home invasion hostage situation hostage negotiator",6.2,2005-03-09
7450,Titan A.E.,"Titan A.E. A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction. Animation Action Science Fiction Family Adventure monster galaxy dystopia space alien animation mission",6.3,2000-06-16
11375,Hollywood Homicide,"Hollywood Homicide Joe Gavilan (Harrison Ford) and his new partner K. C. Calden (Josh Hartnett), are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts. Action Adventure Comedy Thriller rap music hitman",5.0,2003-06-09
9425,Soldier,"Soldier Sergeant Todd is a veteran soldier for an elite group of the armed forces. After being defeated by a new breed of genetically engineered soldiers, he is dumped on a waste planet and left for dead. He soon interacts with a group of crash survivors who lead out a peaceful existence. The peace is broken as the new soldiers land on the planet to eliminate the colony, which Sergeant Todd must defend. Action War Science Fiction space marine dystopia alien planet genetic engineering",6.1,1998-10-23
25769,Carriers,"Carriers Four friends fleeing a viral pandemic soon learn they are more dangerous than any virus.A deadly virus has spread across the globe. Contagion is everywhere, no one is safe and no one can be trusted. Four young attractive people race through the back roads of the American West to the pounding beat of a vacation soundtrack. Their aim is to retreat to secluded utopian beach in the Gulf of Mexico, where they could peacefully wait out the pandemic and survive the apocalyptic disease. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal the fate of each of them in an inexorable and horrifying voyage of hell through a western landscape populated by only the hideous dead or the twisted living. Action Drama Horror Science Fiction Thriller beach desperation infection survival biohazard disease trust virus pandemic",5.8,2009-09-04
23685,Monkeybone,"Monkeybone After a car crash sends repressed cartoonist Stu Miley (Fraser) into a coma, he and the mischievous Monkeybone, his hilariously horny alter-ego, wake up in a wacked-out waystation for lost souls. When Monkeybone takes over Stu's body and escapes to wreak havoc on the real world, Stu has to find a way to stop him before his sister pulls the plug on reality forever! Adventure Fantasy Animation Action Comedy parallel world organ donation horniness agent aftercreditsstinger",4.3,2001-02-23
11866,Flight of the Phoenix,"Flight of the Phoenix When an Amacor oil rig in the Gobi Desert of Mongolia proves unproductive, Captain Frank Towns and copilot ""A.J."" are sent to shut the operation down. However, on their way to Beijing, a major dust storm forces them to ditch their C-119 Flying Boxcar in an uncharted area of the desert. Action Adventure Drama Thriller robbery water gobi desert disaster airplane crash struggle for survival desert",5.7,2004-12-17
9741,Unbreakable,"Unbreakable An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead – and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass. Science Fiction Thriller Drama father son relationship train accident comic book marriage crisis invulnerability superhero suspense super powers",6.9,2000-11-13
211672,Minions,"Minions Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world. Family Animation Adventure Comedy assistant aftercreditsstinger duringcreditsstinger evil mastermind minions 3d",6.4,2015-06-17
23629,Sucker Punch,"Sucker Punch A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility. Action Fantasy Thriller brothel fantasy asylum reality escape robot violence inmate alternative imagination lobotomy",5.9,2011-03-24
8688,Snake Eyes,"Snake Eyes All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to. Crime Mystery casino political activism boxer mission of murder boxing match suspense police officer witness to murder",5.8,1998-08-07
10153,Sphere,"Sphere The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery, they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best, smart and logical, and the perfect choice to learn more about the spacecraft. Science Fiction ocean extraterrestrial technology space marine paranoia raumschiffabsturz alien psychologist ocean floor deepsea",5.8,1998-02-13
153518,The Angry Birds Movie,"The Angry Birds Movie An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to. Family Animation island bird pig talking animal based on video game anger management 3d",5.9,2016-05-11
8676,Fool's Gold,"Fool's Gold Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch will stop at nothing to beat him to it. Romance Comedy Adventure helicopter cemetery boat mexican standoff sword cave shipwreck yacht bahamas jet ski treasure hunt rivalry scuba diving gangster underwater divorce heiress ex-husband ex-wife relationship henchmen",5.4,2008-02-07
20829,Funny People,"Funny People Famous and wealthy funnyman George Simmons doesn't give much thought to how he treats people until a doctor delivers stunning health news, forcing George to reevaluate his priorities with a little help from aspiring stand-up comic Ira. Comedy Drama comedian cancer bromance stand-up comedian",5.7,2009-07-31
4349,The Kingdom,The Kingdom A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East. Thriller Action Drama assassination assassin terrorist explosive fbi chase saudi arabia investigation police medical examiner terrorism fbi agent arab bomb attack,6.5,2007-08-22
9718,Talladega Nights: The Ballad of Ricky Bobby,"Talladega Nights: The Ballad of Ricky Bobby Lifelong friends and national idols Ricky Bobby and Cal Naughton Jr. have earned their NASCAR stripes with their uncanny knack of finishing races in the first and second slots, respectively, and slinging catchphrases like ""Shake and bake!"" But when a rival French driver coasts onto the track to challenge their records, they'll have to floor it to retain their top-dog status. Comedy north carolina prayer family dinner advertising divorce motor automobile racing nascar dog trainer car movie sport competition psychosomatic illness french stereotype aftercreditsstinger duringcreditsstinger",6.2,2006-08-04
10808,Dr. Dolittle 2,"Dr. Dolittle 2 Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home. Comedy Family Romance Fantasy veterinarian forest bear animal animal protection",4.9,2001-06-22
197,Braveheart,"Braveheart Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule. Action Drama History War individual scotland in love with enemy legend independence idealism revolt tyranny",7.7,1995-05-24
25,Jarhead,"Jarhead Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use. Drama War sniper marine corps saudi arabia petrol golf war u.s. marine",6.6,2005-11-04
35,The Simpsons Movie,"The Simpsons Movie After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives. Animation Comedy Family father son relationship lake springfield the simpsons duff beer garbage pig pollution environmental protection agency quarantine alcoholism love alaska dysfunctional family dysfunctional marriage ecology saving lives first love duringcreditsstinger donuts",6.9,2007-07-25
11086,The Majestic,"The Majestic Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son. Drama Romance california falsely accused prosecution anti-communism hollywood writer",6.6,2001-12-21
10477,Driven,"Driven Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life. Action competition running career idol racing car",4.5,2001-04-27
1997,Deux frères,"Deux frères Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other. Adventure Drama Family brother brother relationship loss of brother cambodia chase tiger governor royalty travelling circus archaeologist",6.9,2004-04-07
6947,The Village,"The Village When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever. Drama Mystery Thriller secret forest rural setting blindness courtship mentally handicapped man human nature aura romantic village council",6.2,2004-07-30
3050,Doctor Dolittle,"Doctor Dolittle A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down! Comedy Family Fantasy talking to animals woman director",5.4,1998-06-22
2675,Signs,Signs A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come. Drama Thriller Science Fiction Mystery symbolism water farm faith alien family relationships rural setting alien invasion rural crop circle alien attack rural pennsylvania rural america rural farm loss of faith alien encounter,6.4,2002-08-02
809,Shrek 2,"Shrek 2 Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage. Adventure Animation Comedy Family Fantasy prison magic liberation honeymoon parents-in-law kingdom enchantment dancing scene transformation fairy-tale figure",6.7,2004-05-19
920,Cars,"Cars Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters. Animation Adventure Comedy Family car race car journey village and town auto route 66 wrecker porsche retirement media friendship sport anthropomorphism los angeles road movie aftercreditsstinger duringcreditsstinger",6.6,2006-06-08
4806,Runaway Bride,"Runaway Bride Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly. Comedy Romance small town self-discovery just married reporter wedding relationship",5.7,1999-07-30
7451,xXx,"xXx Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi. Action Adventure Thriller sports car biological weapon cold war russian prague mission athlete nsa agent adrenaline junkie thrill seeker",5.8,2002-08-09
228165,The SpongeBob Movie: Sponge Out of Water,"The SpongeBob Movie: Sponge Out of Water Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes. Animation Adventure Comedy Family ocean sea star water comedy sponge spongebob live action and animation",5.8,2015-02-05
3595,Ransom,"Ransom When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals. Action Thriller bounty loss of child yellow press fbi baby-snatching suspense fbi agent millionaire",6.4,1996-11-08
16869,Inglourious Basterds,"Inglourious Basterds In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers. Drama Action Thriller War paris guerrilla cinema self sacrifice dynamite mexican standoff world war ii jew persecution jew nazis masochism sadism scalp winston churchill knife in hand anti semitism gore swastika blood bath german occupation of france violence gun violence",7.9,2009-08-18
879,Hook,"Hook The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg. Adventure Fantasy Comedy Family flying swordplay sword fantasy peter pan daughter fairy-tale figure rescue",6.6,1991-12-11
1573,Die Hard 2,"Die Hard 2 John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics. Action Thriller ambush helicopter journalist based on novel airport hand grenade fistfight cop sequel snow dulles international airport shootout officer involved shooting terrorism explosion church violence sabotage walkie talkie swat team air traffic control commando unit snowmobile",6.6,1990-07-02
9257,S.W.A.T.,"S.W.A.T. Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize. Action Thriller Crime liberation transport of prisoners special unit weapon los angeles",5.8,2003-08-08
1903,Vanilla Sky,"Vanilla Sky David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred. Drama Mystery Romance Science Fiction Thriller amnesia ex-girlfriend virtual reality",6.5,2001-12-10
9697,Lady in the Water,"Lady in the Water Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world. Drama Thriller Fantasy Mystery fortune teller religion and supernatural supernatural powers mythical creature hell swimming pool nixe aftercreditsstinger",5.3,2006-07-21
395,AVP: Alien vs. Predator,"AVP: Alien vs. Predator When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race. Adventure Science Fiction Action saving the world predator laserpointer space marine pyramid praise alien xenomorph",5.5,2004-08-12
23398,Alvin and the Chipmunks: The Squeakquel,"Alvin and the Chipmunks: The Squeakquel Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off. Comedy Family Animation Fantasy Music chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger woman director",5.4,2009-12-21
10590,We Were Soldiers,We Were Soldiers The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it. Action History War vietnam veteran missile vietnam war army major based on true story steel helmet soldier explosion battle bayonet death vietnamese,6.7,2002-03-01
117263,Olympus Has Fallen,"Olympus Has Fallen When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster. Action Thriller white house secret service terrorist attack",6.2,2013-03-20
200,Star Trek: Insurrection,"Star Trek: Insurrection When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded. Science Fiction Action Adventure Thriller space opera retribution spacecraft officer exploding ship",6.3,1998-12-10
44943,Battle: Los Angeles,"Battle: Los Angeles The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before. Action Science Fiction saving the world hero marine corps chaos retirement survivor meteor space invasion alien battlefield survival sergeant los angeles battle danger escapade u.s. marine heroic mission evil alien chaos and mayham",5.5,2011-03-08
587,Big Fish,"Big Fish Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures. Adventure Fantasy Drama circus father son relationship witch fish fishing love of one's life leech story teller apoplectic stroke fair mermaid cancer relationship youth gentle giant",7.6,2003-12-25
10395,Wolf,Wolf Publisher Will Randall becomes a werewolf and has to fight to keep his job. Fantasy adultery heal bite werewolf,6.0,1994-06-17
57212,War Horse,"War Horse Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend. Drama War world war i horse farm life execution trapped alcoholic cavalry plowing artillery",7.0,2011-12-25
152760,The Monuments Men,"The Monuments Men Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed? War Drama History Action world war ii nazis art theft post world war ii",5.8,2014-01-24
2756,The Abyss,"The Abyss A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it. Adventure Action Thriller Science Fiction ocean sea diving suit flying saucer nuclear missile alien life-form insanity scuba diving underwater scuba deepsea trapped underwater  thalassophobia",7.1,1989-08-09
33909,Wall Street: Money Never Sleeps,"Wall Street: Money Never Sleeps As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor. Drama Crime duringcreditsstinger",5.8,2010-09-02
49017,Dracula Untold,"Dracula Untold Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula. Horror Action Drama Fantasy War vampire dracula bite battle 15th century ottoman empire vlad fang vamp tepes",6.2,2014-10-01
9882,The Siege,The Siege The secret US abduction of a suspected terrorist leads to a wave of terrorist attacks in New York that lead to the declaration of martial law. Drama Action Thriller Crime islam muslim car bomb fbi agent,6.0,1998-11-06
2270,Stardust,"Stardust In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity. Adventure Fantasy Romance Family witch based on novel new love prince beauty star kingdom wall falling star royalty unrequited love good vs evil fratricide",7.1,2007-08-09
978,Seven Years in Tibet,"Seven Years in Tibet Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life. Adventure Drama History buddhism himalaya austria mountains buddhist monk world war ii prisoners of war monsoon tibet dalai lama mountaineer lhasa wedding",7.0,1997-09-12
44564,The Dilemma,"The Dilemma Longtime friends Ronny and Nick are partners in an auto-design firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man, and in the process of investigating the possible affair, he learns that Nick has a few secrets of his own. As the presentation nears, Ronny agonizes over what might happen if the truth gets out. Comedy Drama adultery infidelity secret investigation friendship partner love friends dilemma cheating on partner best friend",5.2,2011-01-13
3132,Bad Company,"Bad Company When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother. Action Adventure Comedy Thriller ambush cia assassin nightclub hustler hidden camera decoy undercover agent twin brother deception betrayal mistaken identity shootout espionage foot chase car chase silencer surveillance agent impersonation langley virginia odd couple",5.4,2002-06-07
8814,Doom,"Doom A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious. Adventure Action Horror teleportation based on video game severed ear future war wisecrack humor commando mission",5.0,2005-10-20
8427,I Spy,"I Spy When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers. Action Adventure Comedy Thriller budapest kidnapping boxer secret agent liberation of hostage hostage-taking woman director",5.2,2002-10-31
